,gray,violet,blue,green,yellow,orange,red,brown,target
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04,
476,35597,0,36250,0,403,62022,0,92864,1
477,26634,0,74245,0,0,34563,0,91694,0
478,25993,0,71938,0,654,32084,0,96467,1
479,19627,0,66143,0,0,36005,0,105361,1
480,14771,0,47464,0,0,57426,0,107475,1
481,16737,0,57429,0,0,54344,0,98626,1
482,16368,0,72073,0,0,42589,0,96106,1
483,18199,0,70115,0,0,51881,0,86941,1
484,11720,0,66241,0,0,51021,0,98154,1
485,6195,0,62329,0,0,59421,0,99191,1
486,7012,0,76538,0,0,52658,0,90928,1
487,15214,0,72011,0,0,53901,0,86010,1
488,18381,0,48128,0,1716,47402,0,111509,1
489,19184,0,72523,0,0,36125,0,99304,1
490,21359,0,74022,0,0,26762,0,104993,1
491,9881,0,80170,0,0,47246,0,89839,1
492,22721,0,52276,0,0,41313,0,110826,1
493,19963,0,89443,0,12,39930,0,77788,0
494,36477,0,57127,0,0,36015,0,97517,1
495,19945,0,63171,0,0,48687,0,95333,1
496,12727,0,54269,0,0,57234,0,102906,1
497,21300,0,70310,0,0,42018,0,93508,1
498,11478,0,99558,0,0,35052,0,81048,0
499,10491,0,68987,0,0,59231,0,88427,1
500,12347,0,70578,0,0,41390,0,102821,1
501,6189,0,66025,0,0,55787,0,99135,1
502,20927,0,74839,0,0,48601,0,82769,1
503,32981,0,76023,0,238,31910,0,85984,1
504,28483,0,53485,0,0,43871,0,101297,1
505,17056,0,47135,0,0,50902,0,112043,1
506,19984,0,70807,0,0,41617,0,94728,1
507,19461,0,87473,0,0,44010,0,76192,0
508,28164,0,81605,0,0,37631,0,79736,0
509,21837,0,83178,0,0,40283,0,81838,0
510,31168,0,63611,0,0,30276,0,102081,1
511,25840,0,84245,0,0,36210,0,80841,0
512,1431,0,56382,0,0,89517,0,79806,1
513,15571,0,52851,0,0,60821,0,97893,1
514,15934,0,43635,0,0,57786,0,109781,1
515,29871,0,68220,0,0,28533,0,100512,1
516,2651,0,57189,0,0,82070,0,85226,1
517,19894,0,72240,0,0,38369,0,96633,1
518,16300,0,51795,0,50,56695,0,102296,1
519,20959,0,80283,0,0,34576,0,91318,0
520,7212,0,63229,0,0,50978,0,105717,1
521,13908,0,71561,0,0,44292,0,97375,1
522,17067,0,45384,0,0,59510,0,105175,1
523,14743,0,85176,0,0,32005,0,95212,1
524,26610,0,62229,0,0,39692,0,98605,1
525,29731,0,52312,0,1152,51466,0,92475,1
526,18456,0,67353,0,0,36826,0,104501,1
527,24912,0,63706,0,0,48260,0,90258,1
528,9652,0,82906,0,0,35929,0,98649,1
529,20484,0,70048,0,0,39689,0,96915,1
