,gray,violet,blue,green,yellow,orange,red,brown
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04
343,8.27,0.0,32.75,0.0,0.0,22.31,0.0,36.66
344,8.75,0.0,37.02,0.0,0.0,18.08,0.0,36.15
345,14.02,0.0,28.47,0.0,0.44,17.96,0.0,39.11
346,6.54,0.0,35.8,0.0,0.0,21.47,0.0,36.18
347,7.15,0.0,34.29,0.0,0.0,18.63,0.0,39.93
348,2.03,0.0,27.8,0.0,0.0,27.58,0.0,42.59
349,7.9,0.0,29.91,0.0,0.0,21.86,0.0,40.33
350,3.27,0.0,34.81,0.0,0.0,18.72,0.0,43.2
351,3.93,0.0,33.08,0.0,0.0,23.4,0.0,39.58
352,8.19,0.0,32.94,0.0,0.0,12.22,0.0,46.65
353,3.96,0.0,33.24,0.0,0.0,24.34,0.0,38.45
354,4.44,0.0,29.65,0.0,0.0,22.92,0.0,42.99
355,6.99,0.0,31.44,0.0,0.0,22.67,0.0,38.9
356,3.78,0.0,30.77,0.0,0.0,18.69,0.0,46.77
357,12.93,0.0,37.89,0.0,0.0,11.29,0.0,37.89
358,17.96,0.0,29.3,0.0,0.0,15.5,0.0,37.24
359,2.13,0.0,35.81,0.0,0.0,22.09,0.0,39.96
360,12.25,0.0,30.21,0.0,0.0,15.22,0.0,42.32
361,13.98,0.0,29.1,0.0,0.0,18.04,0.0,38.88
362,9.51,0.0,29.1,0.0,0.0,17.91,0.0,43.47
363,4.47,0.0,35.23,0.0,0.0,19.26,0.0,41.05
364,9.93,0.0,27.3,0.0,0.0,22.59,0.0,40.18
365,5.17,0.0,32.66,0.0,0.0,25.65,0.0,36.52
366,11.36,0.0,30.37,0.0,0.0,14.28,0.0,43.99
367,9.83,0.0,28.04,0.0,0.0,20.95,0.0,41.18
368,7.51,0.0,23.01,0.0,0.0,22.7,0.0,46.78
369,15.34,0.0,34.69,0.0,0.0,11.47,0.0,38.5
370,7.88,0.0,21.88,0.0,0.0,27.16,0.0,43.07
371,8.21,0.0,29.99,0.0,0.0,18.94,0.0,42.85
372,4.0,0.0,29.12,0.0,0.0,22.11,0.0,44.77
373,10.29,0.0,35.51,0.0,0.0,24.25,0.0,29.95
374,3.77,0.0,29.61,0.0,0.0,18.01,0.0,48.61
375,9.37,0.0,19.17,0.0,0.0,22.68,0.0,48.78
376,7.44,0.0,20.09,0.0,0.0,24.93,0.0,47.53
377,4.89,0.0,24.03,0.0,0.0,20.87,0.0,50.21
378,3.68,0.0,28.96,0.0,0.0,24.04,0.0,43.33
379,1.16,0.0,37.88,0.0,0.0,20.52,0.0,40.44
380,3.14,0.0,30.09,0.0,0.0,25.66,0.0,41.11
381,0.4,0.0,33.93,0.0,0.0,22.63,0.0,43.04
382,4.46,0.0,34.48,0.0,0.0,20.53,0.0,40.53
383,14.43,0.0,37.11,0.0,0.0,8.5,0.0,39.96
384,3.99,0.0,40.18,0.0,0.0,16.29,0.0,39.53
385,2.85,0.0,31.53,0.0,0.0,23.58,0.0,42.05
386,11.63,0.0,29.54,0.0,0.0,20.62,0.0,38.21
387,10.06,0.0,27.06,0.0,0.0,21.58,0.0,41.31
388,6.81,0.0,27.77,0.0,0.0,17.35,0.0,48.07
389,7.17,0.0,28.74,0.0,0.0,21.32,0.0,42.76
390,8.79,0.0,26.4,0.0,0.0,18.3,0.0,46.52
391,6.61,0.0,34.12,0.0,0.0,18.26,0.0,41.02
392,4.36,0.0,39.3,0.0,0.0,22.81,0.0,33.53
